Product,ProductID,Category,CategoryID,Segment,SegmentID,Product Image,Category Image,Segement Color,Segment image,Price,Price Range
Word,11,Office 365,1,Royal Blue,2,https://imagizer.imageshack.com/img922/9264/iTdYvM.png,https://imagizer.imageshack.com/img922/629/UfqdXX.png,https://imagizer.imageshack.com/img922/5337/KUgrHl.png,https://imagizer.imageshack.com/img924/4307/XTPE33.png,$70 ,>$70
XBOX,12,XBOX,3,Green,4,https://imagizer.imageshack.com/img922/92/MVLZY1.png,https://imagizer.imageshack.com/img921/2696/EOTNQa.png,https://imagizer.imageshack.com/img924/636/UcdPbm.png,https://imagizer.imageshack.com/img922/236/C6rsON.png,$40 ,$40 - $70
OneDrive,13,Office 365,1,Blue,2,https://imagizer.imageshack.com/img924/6016/kuanJL.png,https://imagizer.imageshack.com/img921/9973/eXXkZc.png,https://imagizer.imageshack.com/img924/6308/zofvQn.png,https://imagizer.imageshack.com/img924/4307/XTPE33.png,$38 ,<$40
Yammer,14,Office 365,1,Blue,2,https://imagizer.imageshack.com/img922/9221/8MnP4M.png,https://imagizer.imageshack.com/img924/1967/BWwGzF.png,https://imagizer.imageshack.com/img924/6308/zofvQn.png,https://imagizer.imageshack.com/img924/4307/XTPE33.png,$32 ,<$40
XBOX ONE,15,XBOX,3,Green,4,https://imagizer.imageshack.com/img922/2075/s5Rdgt.png,https://imagizer.imageshack.com/img921/8457/f28FcM.png,https://imagizer.imageshack.com/img924/636/UcdPbm.png,https://imagizer.imageshack.com/img922/236/C6rsON.png,$40 ,$40 - $70
Power BI,16,Power Platform,3,Yellow,5,https://imagizer.imageshack.com/img922/3305/ldYlCT.png,https://imagizer.imageshack.com/img924/3531/kDI3dv.png,https://imagizer.imageshack.com/img922/4927/dzv808.png,https://imagizer.imageshack.com/img924/338/f3IzPb.png,$85 ,>$70
Kaizala,17,Office 365,1,Cyan,1,https://imagizer.imageshack.com/img921/9127/XOOxKN.png,https://imagizer.imageshack.com/img923/1189/rnoqOa.png,https://imagizer.imageshack.com/img924/6308/zofvQn.png,https://imagizer.imageshack.com/img924/4307/XTPE33.png,$50 ,$40 - $70
Planner,18,Office 365,1,Jade,4,https://imagizer.imageshack.com/img923/6540/KyMV0J.png,https://imagizer.imageshack.com/img923/6231/ueSyj7.png,https://imagizer.imageshack.com/img921/5287/BxSePV.png,https://imagizer.imageshack.com/img924/4307/XTPE33.png,$26 ,<$40
Forms,19,Office 365,1,Turquoise,3,https://imagizer.imageshack.com/img921/3233/aUkT4r.png,https://imagizer.imageshack.com/img922/7950/fckg3j.png,https://imagizer.imageshack.com/img921/4733/nntkIJ.png,https://imagizer.imageshack.com/img924/4307/XTPE33.png,$20 ,<$40
PowerApps,20,Power Platform,2,Magenta,8,https://imagizer.imageshack.com/img922/2923/4e3hEn.png,https://imagizer.imageshack.com/img921/8061/mgl9Og.png,https://imagizer.imageshack.com/img921/5893/oPMTlz.png,https://imagizer.imageshack.com/img924/338/f3IzPb.png,$36 ,<$40
Teams,21,Office 365,1,Purple,9,https://imagizer.imageshack.com/img923/2618/OsaVY1.png,https://imagizer.imageshack.com/img922/2176/UN39iM.png,https://imagizer.imageshack.com/img921/5086/AYTDFM.png,https://imagizer.imageshack.com/img924/4307/XTPE33.png,$28 ,<$40
Stream,22,Office 365,1,Red,7,https://imagizer.imageshack.com/img924/8273/grXXPr.png,https://imagizer.imageshack.com/img923/8257/WBeDCm.png,https://imagizer.imageshack.com/img922/5808/YKe4TY.png,https://imagizer.imageshack.com/img924/4307/XTPE33.png,$24 ,<$40
To-Do,23,Office 365,1,Royal Blue,2,https://imagizer.imageshack.com/img921/4450/CjLqLf.png,https://imagizer.imageshack.com/img924/961/s8AzSp.png,https://imagizer.imageshack.com/img922/5337/KUgrHl.png,https://imagizer.imageshack.com/img924/4307/XTPE33.png,$33 ,<$40
Flow,24,Power Platform,2,Neon Blue,2,https://imagizer.imageshack.com/img924/2000/yBPWVa.png,https://imagizer.imageshack.com/img923/9223/2NmbsX.png,https://imagizer.imageshack.com/img921/7949/gUqeic.png,https://imagizer.imageshack.com/img924/338/f3IzPb.png,$29 ,<$40
